id,wmo,icao,iata,name,custom-name,elevation,pressure-sensor-height,latitude,longitude,priority,country-code,time-zone,state-region,runway-direction-1,runway-direction-2,minimum-sector-altitude,group,flags,icao-region,polygon,polyline,population,custom-id,GML-id,organisation,hide-coordinates,type,source,state,area-number
au.bom:YB.SHL.LDM,,SHL,,SHELBURNE BAY,,,,-11.88333333,143.0166667,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,QLD,45
au.bom:YB.STC.LDM,,STC,,SCOTT CREEK,,,,-14.83333333,131.8333333,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,80
au.bom:YB.SUG.TSP,,SUG,,SUGARLOAF PT,,,,-32.44444444,152.5402778,,,,,,,,,------------,YB,,,,,,,,TSP,---p----,NSW,20
au.bom:YB.TBL.LDM,,TBL,,TABULAM,,,,-28.88671111,152.5685861,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NSW,20
au.bom:YB.UNDW.LDM,,UNDW,,UNDEMOW WATERHOLE,,,,-17.58333333,135.25,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,80
au.bom:YB.VANVA.WPT,,VANVA,,VANVA,,,,-22.35833333,149.865,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,44
au.bom:YB.WITE.LDM,,WITE,,LAKE WHITE,,,,-21.1,129.05,,,,,,,,,------------,YB,,,,,,,,LDM,---pa---,NT,84
au.bom:YB.YABF.ALA,,YABF,,ABERFOYLE,,,,-21.675,145.2666667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,43
au.bom:YB.YAGD.ALA,,YAGD,,AUGUSTUS DOWNS,,,,-18.5155,139.8787389,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,45
au.bom:YB.YAMB.AD,,YAMB,,AMBERLEY,,,,-27.64065833,152.7118222,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YAMC.ALA,,YAMC,,ARAMAC,,,,-22.95938889,145.2525556,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,43
au.bom:YB.YANL.ALA,,YANL,,ANTHONY LAGOON,,,,-17.97563333,135.5381667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YAPA.ALA,,YAPA,,ANNA PLAINS HS,,,,-19.26363889,121.5120889,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,68
au.bom:YB.YAPH.AD,,YAPH,,ALPHA,,,,-23.64598333,146.5836806,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YARD.ALA,,YARD,,ARGADARGADA,,,,-21.67638889,136.6777778,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YARG.AD,,YARG,,ARGYLE,,,,-16.63683889,128.4513389,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,WA,69
au.bom:YB.YARM.AD,,YARM,,ARMIDALE,,,,-30.52817778,151.6170917,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NSW,20
au.bom:YB.YARY.ALA,,YARY,,ARRABURY,,,,-26.69056667,141.0471167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YASF.ALA,,YASF,,ASHFORD,,,,-29.31670278,151.0561167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,20
au.bom:YB.YATN.ALA,,YATN,,ATHERTON,,,,-17.26203333,145.5144111,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,45
au.bom:YB.YAUR.AD,,YAUR,,AURUKUN,,,,-13.35384167,141.7208222,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YAUV.ALA,,YAUV,,AUVERGNE STN,,,,-15.69333333,130.0083333,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YAVD.ALA,,YAVD,,AVON DOWNS,,,,-20.03916667,137.5216667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YAYR.ALA,,YAYR,,AYR,,,,-19.59633333,147.3246167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,44
au.bom:YB.YBAB.ALA,,YBAB,,BARALABA,,,,-24.186667,149.845,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,40
au.bom:YB.YBAD.ALA,,YBAD,,BARADINE,,,,-30.955,149.0916667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,22
au.bom:YB.YBAF.AD,,YBAF,,BRISBANE/ARCHERFIELD,,,,-27.57034444,153.008025,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBAR.AD,,YBAR,,BARCALDINE,,,,-23.56513889,145.3067111,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YBBN.AD,,YBBN,,BRISBANE,,,,-27.38413056,153.1175667,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBCG.AD,,YBCG,,GOLD COAST,,,,-28.16443611,153.5047972,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBCK.AD,,YBCK,,BLACKALL,,,,-24.42789444,145.4285528,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YBCR.ALA,,YBCR,,BATCHELOR,,,,-13.06111111,131.025,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YBCS.AD,,YBCS,,CAIRNS/CAIRNS INTL,,,,-16.88596944,145.7552694,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YBCV.AD,,YBCV,,CHARLEVILLE,,,,-26.41331389,146.2625583,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YBDV.AD,,YBDV,,BIRDSVILLE,,,,-25.89742222,139.3476,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YBEO.ALA,,YBEO,,BETOOTA,,,,-25.695,140.736667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YBGB.ALA,,YBGB,,BEAGLE BAY,,,,-16.98333333,122.65,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,69
au.bom:YB.YBGO.AD,,YBGO,,BALGO HILL,,,,-20.14826667,127.9739778,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,WA,83
au.bom:YB.YBHM.AD,,YBHM,,HAMILTON ISLAND,,,,-20.35816111,148.9516389,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,44
au.bom:YB.YBIE.AD,,YBIE,,BEDOURIE,,,,-24.34611944,139.4602167,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YBIL.ALA,,YBIL,,BILLILUNA,,,,-19.54041667,127.6554667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,69
au.bom:YB.YBKT.AD,,YBKT,,BURKETOWN,,,,-17.74850278,139.5345083,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YBLL.ALA,,YBLL,,BOLLON,,,,-28.05366667,147.47845,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YBMA.AD,,YBMA,,MOUNT ISA,,,,-20.66390556,139.4887278,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,43
au.bom:YB.YBMK.AD,,YBMK,,MACKAY,,,,-21.17151944,149.1796167,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,44
au.bom:YB.YBMY.ALA,,YBMY,,BAMYILI,,,,-14.51965278,132.8834333,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YBNA.AD,,YBNA,,BALLINA/BYRON GATEWAY,,,,-28.83377778,153.5624361,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NSW,20
au.bom:YB.YBNY.ALA,,YBNY,,BRUNCHILLY STN,,,,-18.86916667,134.4611111,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YBOK.AD,,YBOK,,OAKEY,,,,-27.41148333,151.7353056,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBOU.AD,,YBOU,,BOULIA,,,,-22.91333333,139.8997222,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,43
au.bom:YB.YBPN.AD,,YBPN,,PROSERPINE/WHITSUNDAY COAST,,,,-20.49500278,148.5523472,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,44
au.bom:YB.YBRJ.ALA,,YBRJ,,BURREN JUNCTION,,,,-30.15861111,148.9741944,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,22
au.bom:YB.YBRK.AD,,YBRK,,ROCKHAMPTON,,,,-23.38192778,150.4752556,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBRL.ALA,,YBRL,,BORROLOOLA,,,,-16.07526667,136.3023389,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YBRM.AD,,YBRM,,BROOME/INTL,,,,-17.949583,122.227739,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,WA,69
au.bom:YB.YBRU.ALA,,YBRU,,BRUNETTE DOWNS,,,,-18.63755,135.9437,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YBSU.AD,,YBSU,,SUNSHINE COAST,,,,-26.60341667,153.0910361,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBTD.ALA,,YBTD,,BRIGHTON DOWNS,,,,-23.35,141.5333333,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YBTI.AD,,YBTI,,BATHURST ISLAND,,,,-11.76909167,130.6197444,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NT,80
au.bom:YB.YBTL.AD,,YBTL,,TOWNSVILLE/TOWNSVILLE INTL,,,,-19.2526,146.7652944,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,44
au.bom:YB.YBTR.ALA,,YBTR,,BLACKWATER,,,,-23.60306389,148.8068306,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,40
au.bom:YB.YBUD.AD,,YBUD,,BUNDABERG,,,,-24.90375556,152.3185083,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBWN.AD,,YBWN,,BOWEN,,,,-20.01788889,148.2152667,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,44
au.bom:YB.YBWP.AD,,YBWP,,WEIPA,,,,-12.67857222,141.9253778,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YBWW.AD,,YBWW,,BRISBANE WEST WELLCAMP,,,,-27.55852222,151.7941528,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YCBB.AD,,YCBB,,COONABARABRAN,,,,-31.33258611,149.2671306,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NSW,20
au.bom:YB.YCBL.ALA,,YCBL,,CAMBALLIN,,,,-17.98617778,124.1645139,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,69
au.bom:YB.YCBR.ALA,,YCBR,,COLLARENEBRI,,,,-29.52204722,148.5820944,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,22
au.bom:YB.YCCA.AD,,YCCA,,CHINCHILLA,,,,-26.76933611,150.61655,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YCCY.AD,,YCCY,,CLONCURRY,,,,-20.66868333,140.5043806,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,43
au.bom:YB.YCFD.ALA,,YCFD,,CAMFIELD STN,,,,-17.021725,131.3265278,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YCFS.AD,,YCFS,,COFFS HARBOUR,,,,-30.32058333,153.1163333,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NSW,20
au.bom:YB.YCGO.AD,,YCGO,,CHILLAGOE,,,,-17.140725,144.5283278,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YCHT.AD,,YCHT,,CHARTERS TOWERS,,,,-20.04360556,146.2721528,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,44
au.bom:YB.YCIN.AD,,YCIN,,CURTIN,,,,-17.58144722,123.8281944,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,WA,69
au.bom:YB.YCKN.AD,,YCKN,,COOKTOWN,,,,-15.44464722,145.1843194,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YCMT.AD,,YCMT,,CLERMONT,,,,-22.77294444,147.620625,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,44
au.bom:YB.YCMU.AD,,YCMU,,CUNNAMULLA,,,,-28.03005556,145.6221167,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YCMW.AD,,YCMW,,CAMOOWEAL,,,,-19.91166667,138.125,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,43
au.bom:YB.YCNM.AD,,YCNM,,COONAMBLE,,,,-30.98338889,148.3756444,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NSW,22
au.bom:YB.YCNY.AD,,YCNY,,CENTURY MINE,,,,-18.75333333,138.7066667,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YCOE.AD,,YCOE,,COEN,,,,-13.76207778,143.1166667,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YCOO.ALA,,YCOO,,COOINDA,,,,-12.90271111,132.5323167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
