NAME,GAF_AREA,TYPE,LAT,LONG
Blanchetown,SA,Non-TAF,-34.35,139.61
Ceduna,SA,TAF,-32.1306,133.70975
Clare Valley,SA,Non-TAF,-33.71,138.58
Cleve,SA,Non-TAF,-33.70983,136.50475
Coober Pedy,SA,TAF,-29.04,134.72086
Cowell,SA,Non-TAF,-33.67,136.89
Edinburgh,SA,TAF,-34.71206,138.62361
Ernabella (Pukatja),SA,TAF,-26.26258,132.18176
Kadina,SA,Non-TAF,-33.9703,137.6628
Kingscote,SA,TAF,-35.70694,137.52083
Kingston,SA,Non-TAF,-36.82,139.85
Leigh Creek,SA,TAF,-30.59583,138.426
Marree,SA,Non-TAF,-29.6587,138.0684
Minlaton,SA,Non-TAF,-34.71167,137.525
Moomba,SA,TAF,-28.09954,140.19705
Mount Gambier,SA,TAF,-37.74544,140.78528
Mt Crawford,SA,Non-TAF,-34.73,138.93
Mt Lofty,SA,Non-TAF,-34.98,138.71
Murray Bridge,SA,TAF,-35.06667,139.22667
Naracoorte,SA,TAF,-36.985,140.725
Nuriootpa,SA,Non-TAF,-34.47,138.99
Olympic Dam,SA,TAF,-30.485,136.87667
Oodnadatta,SA,Non-TAF,-27.56139,135.44611
Parafield,SA,TAF,-34.79028,138.6375
Port Augusta,SA,TAF,-32.50692,137.7168
Port Lincoln,SA,TAF,-34.60539,135.88028
Renmark,SA,TAF,-34.19641,140.674
Robe,SA,Non-TAF,-37.1776,139.8054
Salt Creek,SA,Non-TAF,-36.14,139.64
Streaky Bay,SA,Non-TAF,-32.75,134.2
Tarcoola,SA,Non-TAF,-30.70667,134.57667
Waikerie,SA,Non-TAF,-34.18,140.03
Whyalla,SA,TAF,-33.0525,137.52222
William Creek,SA,Non-TAF,-28.91,136.32
Wilpena HS,SA,Non-TAF,-31.52,138.63
Woomera,SA,TAF,-31.14806,136.81389
Wudinna,SA,Non-TAF,-33.04324,135.44721
Yunta,SA,Non-TAF,-32.5707,139.5645
Umuwa,SA,Non-TAF,-26.487,132.04
Bathurst Harbour,TAS,Non-TAF,-43.42,146.16
Ben Lomond (Legges Tor),TAS,Non-TAF,-41.53,147.66
Bridport,TAS,Non-TAF,-41,147.4
Cradle Mountain Lodge,TAS,Non-TAF,-41.57,145.93
Devonport,TAS,TAF,-41.17444,146.42528
Federation Peak,TAS,Non-TAF,-43.27,146.45
Flinders Island,TAS,TAF,-40.09129,147.99267
Mt Picton,TAS,Non-TAF,-43.15,146.58
George Town ,TAS,Non-TAF,-41.08,146.82
Hartz Mountain,TAS,Non-TAF,-43.08,146.77
Hobart Airport,TAS,TAF,-42.83722,147.5
King Island Airport,TAS,TAF,-39.88583,143.88194
Launceston,TAS,TAF,-41.54944,147.20694
Mount Lloyd ,TAS,Non-TAF,-42.831,146.9465
Mount Read,TAS,Non-TAF,-41.65,145.54
Mount Wellington (TAS),TAS,Non-TAF,-42.9,147.23
Mt Frederick,TAS,Non-TAF,-43.05,146.66
Nubeena,TAS,Non-TAF,-43.1,147.74
Queenstown,TAS,Non-TAF,-42.08,145.57
Scottsdale,TAS,Non-TAF,-41.17,147.52
Smithton,TAS,Non-TAF,-40.83502,145.08374
St Helens,TAS,TAF,-41.3368,148.28185
Stanley ,TAS,Non-TAF,-40.77,145.3
Strahan,TAS,TAF,-42.15563,145.29129
Tarraleah,TAS,Non-TAF,-42.27,146.27
Tasman Island,TAS,Non-TAF,-43.2397,148.0025
Wynyard (Burnie),TAS,TAF,-40.99879,145.73122
Rosebery,TAS,Non-TAF,-41.78,145.55
Ararat,VIC,Non-TAF,-37.31,142.99
Avalon,VIC,TAF,-38.0394,144.46948
Bacchus Marsh,VIC,Non-TAF,-37.73,144.42
Bairnsdale,VIC,TAF,-37.88751,147.56764
Ballarat,VIC,TAF,-37.51159,143.79123
Barwon Heads,VIC,Non-TAF,-38.26,144.5
Bendigo Airport,VIC,TAF,-36.73941,144.32985
Castlemaine,VIC,Non-TAF,-37.13,144.22
Charlton,VIC,Non-TAF,-36.2847,143.3342
Coldstream,VIC,Non-TAF,-37.7258,145.4072
Corowa,VIC,Non-TAF,-35.99033,146.3513
Deniliquin,VIC,Non-TAF,-35.55933,144.94641
Echuca,VIC,Non-TAF,-36.13,144.76
Edenhope,VIC,Non-TAF,-37.0222,141.2656
Essendon Airport,VIC,TAF,-37.72722,144.89861
Falls Creek AWS,VIC,Non-TAF,-36.87,147.28
Fish Creek,VIC,Non-TAF,-38.72,146.05
Hamilton,VIC,TAF,-37.64876,142.06524
Healesville,VIC,Non-TAF,-37.68,145.52
Heyfield (Rainbow Ck),VIC,Non-TAF,-38.02,146.68
Hopetoun,VIC,Non-TAF,-35.715,142.3569
Horsham,VIC,TAF,-36.66969,142.17268
Inverleigh,VIC,Non-TAF,-38.15,143.99
Kilmore Gap,VIC,Non-TAF,-37.3,144.98333
Kyneton,VIC,Non-TAF,-37.25,144.43
Latrobe Valley,VIC,TAF,-38.20723,146.47031
Laverton (VIC),VIC,Non-TAF,-37.8565,144.7566
Leongatha,VIC,Non-TAF,-38.5,145.86
Lethbridge Airport,VIC,Non-TAF,-37.92,144.1
Mallacoota,VIC,Non-TAF,-37.59875,149.72075
Mangalore,VIC,TAF,-36.89861,145.18472
Maryborough (VIC),VIC,Non-TAF,-37.05,143.71
Melbourne Airport,VIC,TAF,-37.66833,144.83194
Melton,VIC,Non-TAF,-37.62,144.57
Mildura,VIC,TAF,-34.22926,142.08556
Moorabbin,VIC,TAF,-37.97861,145.09583
Mount Buller,VIC,Non-TAF,-37.1467,146.4367
Mt Buller AWS,VIC,Non-TAF,-37.15,146.44
Mt Hotham Airport,VIC,Non-TAF,-37.03,147.33
Nathalia,VIC,Non-TAF,-36.06,145.2
Nhill,VIC,Non-TAF,-36.30967,141.64091
Orbost Airport,VIC,Non-TAF,-37.79,148.61
Ouyen,VIC,Non-TAF,-35.12,142.32
Phillip Island,VIC,Non-TAF,-38.52294,145.32717
Point Cook,VIC,Non-TAF,-37.93226,144.75346
Portland,VIC,TAF,-38.31809,141.47104
Shepparton,VIC,TAF,-36.42881,145.39256
Stawell,VIC,Non-TAF,-37.0678,142.7411
Swan Hill,VIC,TAF,-35.37571,143.53274
Tooradin,VIC,Non-TAF,-38.22,145.38
Tyaab,VIC,Non-TAF,-38.27,145.18
Wangaratta,VIC,TAF,-36.41593,146.30686
Warburton (VIC),VIC,Non-TAF,-37.78,145.72
Warrnambool,VIC,TAF,-38.29514,142.44674
East Sale,VIC,TAF,-38.098889,147.149444
Wycheproof,VIC,Non-TAF,-36.06,143.24
Yarram Airport,VIC,Non-TAF,-38.56,146.67
Yarrawonga,VIC,Non-TAF,-36.0294,146.0306
Argyle,WA-N,TAF,-16.63684,128.45134
Balgo Hill,WA-N,Non-TAF,-20.14827,127.97398
Barimunya,WA-N,TAF,-22.6719,119.1628
Barrow island,WA-N,TAF,-20.86452,115.40606
Boolgeeda,WA-N,TAF,-22.54111,117.26944
Broome,WA-N,TAF,-17.94958,122.22774
Christmas Creek,WA-N,TAF,-22.3562,119.6497
Christmas Island,WA-N,TAF,-10.45059,105.69035
Cocos Island,WA-N,TAF,-12.18865,96.83048
Coondewanna,WA-N,TAF,-22.965,118.8089
Curtin/Derby South,WA-N,TAF,-17.58145,123.82819
Derby,WA-N,TAF,-17.3701,123.66065
Fitzroy Crossing,WA-N,TAF,-18.182,125.55867
Fortescue Dave Forrest,WA-N,TAF,-22.29183,119.43733
Ginbata,WA-N,Non-TAF,-22.5811,120.0356
Gudai-Darri Mine,WA-N,TAF,-22.5031,119.0723
Halls Creek,WA-N,TAF,-18.23396,127.6696
Ironbridge Mine,WA-N,TAF,-21.2853,118.8765
Kalumburu,WA-N,Non-TAF,-14.2964,126.6453
Karlawinda Mine,WA-N,Non-TAF,-23.7811,120.135
Karratha,WA-N,TAF,-20.71667,116.77639
Koolan Island/Central,WA-N,TAF,-16.12,123.73
Kununurra,WA-N,TAF,-15.77804,128.70743
Learmonth,WA-N,TAF,-22.23548,114.08854
Lombadina,WA-N,TAF,-16.5158,122.9214
Mungalalu-Truscott,WA-N,TAF,-14.08969,126.38069
Newman,WA-N,TAF,-23.41783,119.80274
North Rankin A Platform,WA-N,Non-TAF,-19.58556,116.13694
Onslow,WA-N,TAF,-21.6684,115.113
Paraburdoo,WA-N,TAF,-23.17122,117.7454
Port Hedland,WA-N,TAF,-20.3875,118.62444
Roebourne,WA-N,Non-TAF,-20.7594,117.1583
Shay Gap,WA-N,Non-TAF,-20.4254,120.1311
Solomon Airport,WA-N,TAF,-22.2547,117.847
Telfer,WA-N,TAF,-21.71492,122.22874
West Angelas,WA-N,TAF,-23.135,118.70667
Wyndham,WA-N,Non-TAF,-15.51144,128.15315
Lake King town,WA-S,Non-TAF,-33.085,119.689
Abra Mine,WA-S,Non-TAF,-24.6242,118.6203
Albany,WA-S,TAF,-34.94344,117.8089
Augusta,WA-S,Non-TAF,-34.33,115.16
Boyup Brook,WA-S,Non-TAF,-33.9,116.45
Bunbury,WA-S,TAF,-33.378,115.677
Busselton,WA-S,TAF,-33.68729,115.40026
Caiguna,WA-S,Non-TAF,-32.27,125.49
Carnarvon,WA-S,TAF,-24.88068,113.67209
Cunderdin,WA-S,TAF,-31.62222,117.21667
Denmark,WA-S,Non-TAF,-34.96,117.35
Esperance Airport,WA-S,TAF,-33.68444,121.82264
Forrest,WA-S,TAF,-30.84389,128.11944
Garden Island HSF,WA-S,Non-TAF,-32.2433,115.6839
Geraldton,WA-S,TAF,-28.79621,114.7075
Giles,WA-S,TAF,-25.05,128.3
Gin Gin,WA-S,Non-TAF,-31.4628,115.8642
Golden Grove,WA-S,TAF,-28.765,116.9717
Gruyere,WA-S,Non-TAF,-28.034,123.814
Israelite Bay,WA-S,Non-TAF,-33.62,123.88
Jandakot,WA-S,TAF,-32.095,115.87444
Jerramungup,WA-S,Non-TAF,-33.92,118.9
Jurien Bay,WA-S,Non-TAF,-30.3,115.06
Kalbarri,WA-S,Non-TAF,-27.09,114.26
Kalgoorlie,WA-S,TAF,-30.78938,121.46173
Katanning,WA-S,Non-TAF,-33.7,117.65
Kojonup,WA-S,Non-TAF,-33.75,117.14
Laverton (WA),WA-S,Non-TAF,-28.61369,122.42396
Leinster,WA-S,TAF,-27.8434,120.70323
Leonora,WA-S,TAF,-28.87812,121.31465
Manjimup,WA-S,Non-TAF,-34.27,116.14
Margaret River,WA-S,Non-TAF,-33.93,115.1
Meekatharra,WA-S,TAF,-26.61175,118.54768
Morawa,WA-S,Non-TAF,-29.2039,116.0247
Mount Holland,WA-S,Non-TAF,-32.1083,119.76
Mount Keith,WA-S,Non-TAF,-27.28646,120.55473
Mount Magnet,WA-S,TAF,-28.11616,117.84173
Murrin Murrin,WA-S,Non-TAF,-28.7053,121.89064
Narrogin,WA-S,Non-TAF,-32.93,117.08
Norseman,WA-S,Non-TAF,-32.20933,121.75457
Northam,WA-S,Non-TAF,-31.63,116.68
Pearce,WA-S,TAF,-31.66768,116.01506
Pemberton,WA-S,Non-TAF,-34.45,116.08
Perth Airport,WA-S,TAF,-31.94389,115.97306
Rottnest Island,WA-S,Non-TAF,-32.00677,115.53975
Shark Bay Airport,WA-S,TAF,-25.89387,113.57723
Southern Cross,WA-S,TAF,-31.2403,119.35979
Tropicana,WA-S,TAF,-29.18667,124.55028
Walpole,WA-S,Non-TAF,-34.98,116.73
Warburton (WA),WA-S,TAF,-26.12833,126.58333
West Musgrave Airport,WA-S,TAF,-26.0545,127.6907
Wiluna,WA-S,TAF,-26.62925,120.22054
Windarling,WA-S,Non-TAF,-30.0319,119.3872
Hood Point,WA-S,Non-TAF,-34.38,119.57
Ravensthorpe,WA-S,Non-TAF,-33.8,120.21
Collie,WA-S,Non-TAF,-33.37,116.18
Quairading,WA-S,Non-TAF,-32.005,117.4176
