NAME,AREA,POINT,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,LAT5,LONG5
Milingimbi,NT,Y,-12.09447,134.89353,,,,,,,,
Modec Venture Drilling Rig,NT,Y,-10.88333,126.58333,,,,,,,,
Ngukurr,NT,Y,-14.72283,134.7476,,,,,,,,
Northern Endeavour Drilling Rig,NT,Y,-10.6225,126.03333,,,,,,,,
Pickertarmoor,NT,Y,-11.76667,130.86667,,,,,,,,
Port Keats,NT,Y,-14.24987,129.52922,,,,,,,,
Smith Point,NT,Y,-11.15,132.15,,,,,,,,
Snake Bay,NT,Y,-11.42288,130.65352,,,,,,,,
South Goulburn Island (Warruwi),NT,Y,-11.65061,133.38206,,,,,,,,
Tanami Mine,NT,Y,-19.96667,129.72556,,,,,,,,
Tennant Creek,NT,Y,-19.64861,134.18139,,,,,,,,
The Granites,NT,Y,-20.54833,130.34667,,,,,,,,
Tindal,NT,Y,-14.52099,132.37786,,,,,,,,
Troughton Island,NT,Y,-13.75167,126.14833,,,,,,,,
Victoria River Downs,NT,Y,-16.40362,131.0025,,,,,,,,
Wave Hill,NT,Y,-17.39364,131.1191,,,,,,,,
Yuendumu,NT,Y,-22.25412,131.78217,,,,,,,,
Boulia,QLD-N,Y,-22.91333,139.89972,,,,,,,,
Burketown,QLD-N,Y,-17.7485,139.53451,,,,,,,,
Cairns,QLD-N,Y,-16.87583,145.75278,,,,,,,,
Cape Flattery,QLD-N,Y,-14.9672,145.3106,,,,,,,,
Century Mine,QLD-N,Y,-18.75333,138.70667,,,,,,,,
Charters Towers,QLD-N,Y,-20.04314,146.27298,,,,,,,,
Clermont,QLD-N,Y,-22.77294,147.62063,,,,,,,,
Cloncurry,QLD-N,Y,-20.67306,140.50278,,,,,,,,
Coen,QLD-N,Y,-13.76208,143.11643,,,,,,,,
Cooktown,QLD-N,Y,-15.44466,145.18431,,,,,,,,
Dysart Airport,QLD-N,Y,-22.6222,148.364,,,,,,,,
Georgetown,QLD-N,Y,-18.30504,143.52991,,,,,,,,
Hamilton Island,QLD-N,Y,-20.35816,148.95164,,,,,,,,
Horn Island,QLD-N,Y,-10.58644,142.29003,,,,,,,,
Hughenden,QLD-N,Y,-20.81493,144.2252,,,,,,,,
Innisfail,QLD-N,Y,-17.55858,146.01162,,,,,,,,
Julia Creek,QLD-N,Y,-20.66837,141.72249,,,,,,,,
Kowanyama,QLD-N,Y,-15.48559,141.75142,,,,,,,,
Lizard Island,QLD-N,Y,-14.67333,145.455,,,,,,,,
Lockhart River,QLD-N,Y,-12.78708,143.30469,,,,,,,,
Mackay,QLD-N,Y,-21.17167,149.17444,,,,,,,,
Macrossan,QLD-N,Y,-21.0167,146.4833,,,,,,,,
Mareeba,QLD-N,Y,-17.06911,145.41905,,,,,,,,
Moranbah,QLD-N,Y,-22.05791,148.07756,,,,,,,,
Mornington Island,QLD-N,Y,-16.66263,139.17793,,,,,,,,
