NAME,GAF_AREA,TYPE,LAT,LONG
Roma,QLD-S,TAF,-26.54512,148.77486
St George,QLD-S,TAF,-28.04976,148.5953
Thangool,QLD-S,TAF,-24.49377,150.57624
Thargomindah,QLD-S,TAF,-27.98635,143.8109
Toowoomba,QLD-S,TAF,-27.55556,151.92083
Wellcamp,QLD-S,TAF,-27.5586,151.7942
Windorah,QLD-S,TAF,-25.41294,142.66731
Gympie,QLD-S,Non-TAF,-26.28288333,152.7019472
Warwick,QLD-S,Non-TAF,-28.14944444,151.9430556
Dalby,QLD-S,Non-TAF,-27.15529167,151.2672917
Tamborine Mountain,QLD-S,Non-TAF,-27.9489195,153.1929006
Beaudesert,QLD-S,Non-TAF,-27.9885617,152.9961186
Glass House Mountains,QLD-S,Non-TAF,-26.8975,152.9513
Moura,QLD-S,Non-TAF,-24.573,149.975
Wondai,QLD-S,Non-TAF,-26.28425556,151.8613361
Rainbow Beach,QLD-S,Non-TAF,-25.9075,153.0888
Mundubbera,QLD-S,Non-TAF,-25.5843445,151.3043305
Agnes Water ,QLD-S,Non-TAF,-24.223913,151.9063163
Biggenden ,QLD-S,Non-TAF,-25.5105,152.0458009
Taroom ,QLD-S,Non-TAF,-25.80203333,149.8994444
Augathella ,QLD-S,Non-TAF,-25.799123,146.5885988
Surat ,QLD-S,Non-TAF,-27.15955556,149.075975
Dirranbandi ,QLD-S,Non-TAF,-28.59166667,148.2166667
Tambo ,QLD-S,Non-TAF,-24.8844,146.253
Woodenbong ,QLD-S,Non-TAF,-28.3913455,152.6120214
Springbrook ,QLD-S,Non-TAF,-28.185749,153.2715593
Rolleston,QLD-S,Non-TAF,-24.46153056,148.6271972
Duaringa ,QLD-S,Non-TAF,-23.72055278,149.6689944
Wyandra,QLD-S,Non-TAF,-27.26666667,145.99
Adelaide,SA,TAF,-34.94944,138.52556
Arkaroola,SA,Non-TAF,-30.41,139.35
Blanchetown,SA,Non-TAF,-34.35,139.61
Ceduna,SA,TAF,-32.1306,133.70975
Clare Valley,SA,Non-TAF,-33.71,138.58
Cleve,SA,Non-TAF,-33.70983,136.50475
Coober Pedy,SA,TAF,-29.04,134.72086
Cowell,SA,Non-TAF,-33.67,136.89
Edinburgh,SA,TAF,-34.71206,138.62361
Ernabella (Pukatja),SA,TAF,-26.26258,132.18176
Kadina,SA,Non-TAF,-33.9703,137.6628
Kingscote,SA,TAF,-35.70694,137.52083
Kingston,SA,Non-TAF,-36.82,139.85
Leigh Creek,SA,TAF,-30.59583,138.426
Marree,SA,Non-TAF,-29.6587,138.0684
Minlaton,SA,Non-TAF,-34.71167,137.525
Moomba,SA,TAF,-28.09954,140.19705
Mount Gambier,SA,TAF,-37.74544,140.78528
Mt Crawford,SA,Geographical feature,-34.73,138.93
Mt Lofty,SA,Geographical feature,-34.98,138.71
Murray Bridge,SA,TAF,-35.06667,139.22667
Naracoorte,SA,TAF,-36.985,140.725
Nuriootpa,SA,Non-TAF,-34.47,138.99
Olympic Dam,SA,TAF,-30.485,136.87667
Oodnadatta,SA,Non-TAF,-27.56139,135.44611
Parafield,SA,TAF,-34.79028,138.6375
Port Augusta,SA,TAF,-32.50692,137.7168
Port Lincoln,SA,TAF,-34.60539,135.88028
Renmark,SA,TAF,-34.19641,140.674
Robe,SA,Non-TAF,-37.1776,139.8054
Salt Creek,SA,Non-TAF,-36.14,139.64
Streaky Bay,SA,Non-TAF,-32.75,134.2
Tarcoola,SA,Non-TAF,-30.70667,134.57667
Waikerie,SA,Non-TAF,-34.18,140.03
Whyalla,SA,TAF,-33.0525,137.52222
William Creek,SA,Non-TAF,-28.91,136.32
Wilpena HS,SA,Non-TAF,-31.52,138.63
Woomera,SA,TAF,-31.14806,136.81389
Wudinna,SA,Non-TAF,-33.04324,135.44721
Yunta,SA,Non-TAF,-32.5707,139.5645
Umuwa,SA,Non-TAF,-26.487,132.04
Bathurst Harbour,TAS,Non-TAF,-43.42,146.16
Ben Lomond (Legges Tor),TAS,Non-TAF,-41.53,147.66
Bridport,TAS,Non-TAF,-41,147.4
Cradle Mountain Lodge,TAS,Non-TAF,-41.57,145.93
Devonport,TAS,TAF,-41.17444,146.42528
Federation Peak,TAS,Geographical feature,-43.27,146.45
Flinders Island,TAS,TAF,-40.09129,147.99267
Mt Picton,TAS,Geographical feature,-43.15,146.58
George Town ,TAS,Non-TAF,-41.08,146.82
Hartz Mountain,TAS,Geographical feature,-43.08,146.77
Hobart,TAS,TAF,-42.83722,147.5
King Island,TAS,TAF,-39.88583,143.88194
Launceston,TAS,TAF,-41.54944,147.20694
Mount Lloyd ,TAS,Geographical feature,-42.831,146.9465
Mount Read,TAS,Geographical feature,-41.65,145.54
Mount Wellington (TAS),TAS,Geographical feature,-42.9,147.23
Mt Frederick,TAS,Geographical feature,-43.05,146.66
Nubeena,TAS,Non-TAF,-43.1,147.74
Queenstown,TAS,Non-TAF,-42.08,145.57
Scottsdale,TAS,Non-TAF,-41.17,147.52
Smithton,TAS,Non-TAF,-40.83502,145.08374
St Helens,TAS,TAF,-41.3368,148.28185
Stanley ,TAS,Non-TAF,-40.77,145.3
Strahan,TAS,TAF,-42.15563,145.29129
Tarraleah,TAS,Non-TAF,-42.27,146.27
Tasman Island,TAS,Non-TAF,-43.2397,148.0025
Wynyard (Burnie),TAS,TAF,-40.99879,145.73122
Rosebery,TAS,Non-TAF,-41.78,145.55
Campbell Town ,TAS,Non-TAF,-41.93333333,147.4916667
Triabunna ,TAS,Non-TAF,-42.504035,147.9139308
Bicheno ,TAS,Non-TAF,-41.8748974,148.3038105
Oatlands ,TAS,Non-TAF,-42.3,147.3666667
Bothwell ,TAS,Non-TAF,-42.3848997,147.0074135
Maydena ,TAS,Non-TAF,-42.7636,146.5972
Boomerang Seamount,VAAC,Geographical feature,-37.721,77.825
Amsterdam Island,VAAC,Geographical feature,-37.83,77.52
St. Paul,VAAC,Geographical feature,-38.72,77.53
St. Andrew Strait,VAAC,Geographical feature,-2.38,147.35
Baluan,VAAC,Geographical feature,-2.57,147.28
Central Bismarck Sea,VAAC,Geographical feature,-3.03,147.78
Blup Blup,VAAC,Geographical feature,-3.507,144.605
Kadovar,VAAC,Geographical feature,-3.608,144.588
Bam,VAAC,Geographical feature,-3.613,144.818
Boisa,VAAC,Geographical feature,-3.994,144.963
Manam,VAAC,Geographical feature,-4.08,145.037
Karkar,VAAC,Geographical feature,-4.649,145.964
Hankow Reef,VAAC,Geographical feature,-4.883,146.717
Long Island,VAAC,Geographical feature,-5.358,147.12
Umboi,VAAC,Geographical feature,-5.589,147.875
Ritter Island,VAAC,Geographical feature,-5.519,148.115
Sakar,VAAC,Geographical feature,-5.414,148.094
Langila,VAAC,Geographical feature,-5.525,148.42
Mundua,VAAC,Geographical feature,-4.624,149.339
Garove,VAAC,Geographical feature,-4.687,149.511
Dakataua,VAAC,Geographical feature,-5.094,150.094
